"","Rough_Rice2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2006-06-20",-6.68832203404701,-10.4172378608125,-4.40393604382265,36.9747025506086,-120,-720,-0.74616900021347,-5.59393027218054,0.0819336383401925,0,-24.1162056816888,-9.94607935306382,1.28768196969986,87.2026393162927
"2","2006-06-27",-0.829513134513427,-4.2925044717034,-2.0323901130995,-27.3070725270717,152,-138,4.20971866648916,-1.2464959878745,2.34733561856419,0,-3.63193151468701,-61.1597313595837,-9.49520044480767,-9.96298409488414
"3","2006-07-03",3.17001076183008,11.5492083909828,5.3791076816406,28.8534950968298,-321,544,-9.82933484347335,4.65622469697049,2.29349712824964,0,12.8897306908553,65.0063594423633,15.9842306078251,9.96298409488414
"4","2006-07-11",-2.06551532788115,-2.35507231701266,-1.95609491229138,12.7117002446859,36,-190,-1.56738385434245,-2.50540649230686,0,0,9.70389132176388,-3.84662808277962,-20.9448785334322,22.6585895505183
"5","2006-07-18",0.831332724842504,0.45123297667029,1.95609491229138,-7.72313479359905,-150,59,1.479316917783,2.32788114832907,0.468019575047762,0,6.27602226577064,-27.6847730286071,-9.93989532408959,1.36520891683274
"6","2006-07-25",1.23418260303865,-1.87019345794237,0.615228805466472,-1.47061473896954,42,-101,6.28851727311837,0.690573793533922,0.775197680431727,0,-1.12150708201399,-0.865806274311431,-5.64286690262001,-1.70944333593006
"7","2006-08-01",-0.388098805370696,-10.6772945271167,-3.96194637400757,-2.50013022054167,420,-564,13.8346038420064,-4.01457923982633,-0.775197680431727,0,-20.653581491455,-20.1637346093246,-1.25175487016165,3.72293417683558
"8","2006-08-08",0.796131155010471,-6.86563977287307,-1.7614117158697,4.69802089241922,271,-357,9.43491033247739,-2.00377761758972,2.00314864343794,0,-7.45605632454032,-78.2094666576441,-14.5094539912232,20.909179785856
"9","2006-08-15",14.6004183091438,26.6431804052383,14.4777229529826,8.78162060069174,-260,1414,0.327261118958866,14.6922865732419,-0.152671785379965,0,24.4551507581879,-46.5363249689233,51.9525533641537,13.5887106316982
"10","2006-08-22",-0.566468525024533,-11.4385945040087,-2.33725601815529,38.1583376104777,235,-881,12.475304952385,-4.17966353883177,0,0,-10.0214066537315,162.41440598238,-21.4995890617145,21.1309093667206
