"","Soybeans2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2006-06-20",3.1947834546747,0.0485916130598341,3.56545578516805,12.9089826857768,325,-9478,8.28700891453273,-0.968490880641681,3.347675583918,10.411285485967,-8.23300499331729,20.2887197367026,-1.75719772523486,-3.66117461046827
"2","2006-06-27",-5.46085621373908,-4.21375377445354,-5.33755538367391,16.0490008280718,-2216,-20448,-7.4293884482266,-18.575372216117,-4.88512194827884,4.07321028396694,-6.14426690327203,26.5342892381289,3.59373568053485,-13.1645705446489
"3","2006-07-03",-5.86055062675026,3.4061675003052,-7.78726882868099,-26.3888311706587,1977,26892,-22.7913384131863,3.97118895305564,0.191175886614126,-10.7820689110721,12.5927013119679,-42.4064086953431,2.948855457592,15.0344451181237
"4","2006-07-11",4.10885731443891,3.72968716943181,8.16698896783503,-7.77454640561963,-7204,11453,4.89464494531511,15.8593846649364,1.37974392166367,-11.2427919595294,13.9134570380435,-12.9880982223037,-6.49146784467334,3.97058659474201
"5","2006-07-18",1.38397526077885,-3.99660891503846,1.03685633142163,6.03958771945106,1178,-10659,11.633273289096,-1.1853823357999,-0.88554801350984,7.66497570869227,-9.10896384530755,0.543167766209329,-10.1399441052921,15.2017441107203
"6","2006-07-25",-2.04313566786514,1.88721440527022,-1.4289233069432,13.3765497821029,-1953,-6945,-9.36914499072987,-9.06153432101942,1.97447418514596,8.22913510629686,2.71490440298621,21.1329681024512,-0.877447791033781,0.847846376149874
"7","2006-08-01",4.4685250041562,4.31025828074674,5.32605713494245,25.2271525003366,-671,-15720,4.77992448402436,-8.24545952928073,4.69765076948292,6.04981116005661,2.45254044120653,35.4071401198437,6.63518013347808,7.38064044385052
"8","2006-08-08",0.0638425085091043,-1.77059409965317,0.605634101419206,8.06690207653435,-1236,-11648,3.56973594714542,-5.83730329141083,-2.16388366803208,-11.4700746260247,-3.05978431793559,15.7239961208555,3.94968021378297,-9.32148471405583
"9","2006-08-15",2.11039337771446,-3.53209278420614,1.28252727345988,0.324039132394027,2519,-6198,11.8314056113148,2.16162063837668,-1.69359224142802,9.87852909543481,-10.4533988839465,0.963294419947403,0.981874570086561,-4.74058901753622
"10","2006-08-22",2.46071652631699,0.83249205526954,2.92128987934142,-2.97695558419608,-389,4639,5.00542998950291,7.99552401458001,1.4600022839085,-4.47260357486368,-1.08729791691768,1.85358750503219,1.12322870231072,-21.9229737570126
"11","2006-08-29",-1.16968657443692,-0.0647799033842489,-2.47467483003447,-0.702185193872928,2768,654,-2.88489297971388,-3.94165681953815,0.328531778224317,8.17398834961178,-4.73043686567536,-0.24396558126476,6.87843535275867,-6.48513542073061
"12","2006-09-05",1.4132713756144,3.20405653872466,0.744439160771293,3.1576575838292,2043,1866,-1.47280351927481,-1.33153159827941,2.64754770255671,13.2126468548572,3.9426632476534,-0.0999211548787571,4.94329549458001,13.454229077354
"13","2006-09-12",2.75724092126524,-0.198534466482414,2.87330717478387,3.99498461580574,651,-4872,7.45041802797779,1.87597496783685,-0.0682146634117586,0.657783226845154,-1.0429534124567,5.89113892317332,0.633132648664336,-2.88034777403681
"14","2006-09-19",-0.432321604256281,-1.21696881507791,-0.0952355721636877,-1.88382324386911,-970,123,0.755088670203996,1.48517009618629,-0.15365333984203,2.17313290400138,-4.00456950824495,-0.600239847222106,-2.08761286908281,-10.0513534074947
"15","2006-09-26",0.121655829828349,-2.46328653810952,0.00245355622539023,-3.9901045504088,332,395,3.87416201529991,3.34648273862328,0.25864870546215,-7.54854842731607,-12.3367628252135,-3.0941605134025,-1.13418937340679,-6.79221610986076
"16","2006-10-03",3.4943207700799,1.21065298695928,3.56210847013774,0.52588453159963,1018,1403,6.62039948972701,5.94797024012177,0.937364585908362,10.6731101646185,-4.90661369152861,0.287092796319399,11.6662130663086,-3.76378326993283
"17","2006-10-10",0.0461878534158799,0.604407270506258,2.72558373995508,-24.6059800886655,-6869,24951,-0.702447623730507,19.5218890447391,-0.931983178669071,-32.4608775101934,20.663792538743,-26.3430487347932,-24.5852791324069,-11.6006829117349
"18","2006-10-17",1.71869953012092,3.17181002181197,2.80795658975546,-28.487536863916,-2423,26617,-0.276966618359964,15.2228816946241,-3.01546854972816,-40.2601719820661,22.5266752155374,-34.8099022780829,-3.7067510881279,0.9852296443011
"19","2006-10-24",0.253590968455164,4.56104366624839,-0.455049732924984,-34.6228715192309,1960,26869,-6.09386335438238,8.34215583508993,0.696366249429836,-49.2928054308448,5.84494853971762,-49.1592886807895,23.6974105350074,5.27556567025425
"20","2006-10-31",-3.95557388689571,0.650723414507404,-5.29457621439402,-20.7531597447808,2356,9728,-11.5652734752045,-2.37620068853328,2.64950351416999,-64.7635534477068,18.5421847453799,-25.6736255106004,-80.8537105334739,-6.13079385178601
"21","2006-11-07",3.30257056240306,5.93674120378829,5.05048222596223,-6.27028729911014,-3618,13261,-1.49884788652095,6.87524386572562,2.87078289171863,1.54172640273273,8.73039511471934,-8.68283106275616,22.7182243167924,-3.38393328270818
"22","2006-11-14",5.10741479628507,2.82111763958248,3.54804563983251,8.37888346193978,5687,2416,9.29490441723235,2.79859976203785,-0.623000686261932,-16.3583064170288,8.17451054876308,5.06640714570832,5.97007880907245,15.355321901785
"23","2006-11-21",0.891375499465141,-1.64541146384494,0.212784933774657,9.10325610544316,2163,-6818,5.23748958315267,-1.2814119077655,0.669027008919976,-11.2575488277634,-3.53663953238019,2.53035709808938,-13.3097548185198,18.6560069651525
"24","2006-11-28",0.977174569860928,4.07155629251292,2.42934167892486,-10.3881840527078,-3748,12125,-4.36544068838334,4.53593249984063,1.27678195396914,-22.9811009052529,6.62920196198868,-6.5242081552439,16.4029066176088,-14.3019100885081
"25","2006-12-05",0.449565062405632,-2.56728955089383,0.686803791533031,-6.22290718343859,-540,-2842,5.66371245324824,1.69936407287299,0.0154285273776367,-9.68107283631383,-7.19149688292813,5.3138777672844,-1.13797019135564,-22.4723391051359
"26","2006-12-12",-0.484722648656088,4.69056167742288,-0.132766228043479,5.52039725578553,-1142,7422,-9.7079514902962,-0.955166287453402,1.30280024894809,26.4219643155106,10.3360947330545,-5.40776288844871,4.79798231283706,19.9833051704925
"27","2006-12-19",2.06314215645662,-2.7499396142872,2.05175718791626,-0.204708362172568,623,-5499,10.6826492503862,2.38642014557815,0.342879677867813,-7.3882856781144,-7.17430107029777,-0.00494376467781166,-6.65728663614047,-0.0125707102617056
"28","2006-12-26",-5.28894539158067,0.215813405240262,-4.85207630945865,-0.232150191992986,-2696,518,-15.2469874709677,-5.54671115310406,-0.526626210228187,23.4008681183314,1.99385165440891,-5.2264328745526,-2.67891227401105,4.26381832097409
"29","2007-01-03",-0.564165183289234,6.31140256967146,0.128592758009738,-8.42879635338392,-2060,16046,-15.5468582502989,1.38688248477106,2.35779977538897,-23.6111731380092,9.24328046183582,2.56107795974359,24.8622120717419,-21.6809000943964
"30","2007-01-09",-0.0790516500849492,-0.572747055730893,-0.847925066219268,8.40717356287861,2101,-4202,1.11182145927113,-2.21437054685065,0.564609493559232,20.2296167924078,0.680723727101196,13.5237222981507,-16.8876018803363,-0.61538655743778
"31","2007-01-16",4.80446272652522,5.05824751998194,6.65122657328396,7.41407954706368,-4079,8164,4.19479875710138,6.53197025906476,0.653071582569886,-0.950331126282755,10.3107353661692,-6.5902529580443,12.7406104602478,28.020158874253
