"","Cotton2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"1","2007-09-11",-0.376020373958141,1.76249426511355,0.0454893392205946,-2.34977724046193,-916,3023,-4.63215635604168,0.285891873545374,-1.09913303111373,-8.23309800101519,8.84251359247692,2.64646110916633,-2.3830033132068,-17.4187191365768
"2","2007-09-18",4.28516675884651,8.72159721046568,5.41323535388614,-26.331575780115,-3283,17984,-5.5005490551471,8.07168161684384,5.36118618370001,-1.19841647335495,19.6980628260834,-46.2090039456488,-10.7676623634017,13.2492215559168
"3","2007-09-25",3.98783418922513,5.53545684758632,4.47544833776732,-23.8284752846939,-1896,12362,0.222882151756565,6.19154811206801,0.397632212104071,-26.5382881550851,9.36331606232041,-26.7183663106858,24.0262017714702,-11.356160908375
"4","2007-10-02",0.353451418832407,0.181648750920615,-0.765062343778311,-6.60781673231643,2753,1102,0.781387694660118,-0.470337496086159,-2.06758443382338,-7.39960088775593,1.05854296537373,-11.6172531030974,9.62340499917786,6.70069356083838
"5","2007-10-09",-2.11100073645838,-1.38439843459359,-1.8471335447078,3.57346021074854,-323,-2728,-3.93861802824862,-2.11995160734908,-1.34911564989117,0.0313430499353728,0.327998194871171,2.42395304812355,-8.05492404674659,10.1425984157757
"6","2007-10-16",0.532807423494752,1.56810141238033,0.62584058123818,3.53789433169336,-315,2175,-2.15424120585617,0.472729394242322,1.45813052230537,6.31469234178716,1.17196471285386,4.74191773594512,3.73288801591514,-2.22928075516586
"7","2007-10-23",2.45280851318448,3.48299156419465,3.20607947821916,0.936366149557877,-2320,5830,-0.323540602457051,3.32581963619134,3.32613260215435,19.8180234243203,4.12749956605047,-1.19666366175224,1.86126413440473,-21.6210962450191
"8","2007-10-30",-0.220474658707737,-2.00072936199955,-0.743135730502509,-0.340203658949711,1370,-3399,4.51257820989444,-0.764184353149311,-1.887862402201,-20.6155464817574,-1.67702730113906,8.3715421596219,-3.93550569147418,7.77866245548005
"9","2007-11-06",2.34149496529739,4.55916632973814,2.95451759573915,8.85292185148412,-2003,6777,-3.60302325179074,2.63594419176396,1.79425714056087,-1.40363660317906,8.13476132712658,-0.785480140775086,5.7147828412905,41.4058071830997
"10","2007-11-13",-10.2535605827056,-4.56445057827519,-10.7852430576875,8.54627148207481,3117,-9184,-28.1036181100545,-11.9803991684249,-1.12144233459031,-11.4592641658129,-13.1520406314554,42.4866026042956,8.87943226176553,-74.6976759243552
"11","2007-11-20",-4.84527079568924,-9.00023253927156,-6.20304452278369,34.9543823972256,3772,-20942,8.5916311163281,-9.74803360713565,-5.07067867942528,-0.982892169741945,-16.9192120978071,46.4430681959563,-4.15792747993251,12.5030349646593
"12","2007-11-27",-0.600816544899452,-2.13828902490221,-1.98056213126385,14.2906762489099,3076,-6565,3.82162148069085,-3.88851278877276,-0.806015528189086,-7.16482038063377,-3.51805129400873,18.8366633748265,-4.88960231796352,4.14592416343798
"13","2007-12-04",2.99957988826485,-2.38512158221802,2.66051700966798,21.6028641726227,474,-9516,16.66000583444,-0.0511757375514676,0.0738578040104798,-4.26073414203563,-6.88590346164393,23.5975530129588,-2.35891538487198,31.8149641105548
"14","2007-12-11",0.931264067730453,2.51499173034162,1.79727239232061,10.5376911116286,-2030,400,-2.82262847067276,0.331654507562362,0.752768961956463,12.4421678190165,5.36720905618715,13.7149838147234,3.6662015744616,-24.8488096908961
"15","2007-12-18",0.898729658218755,2.71709460168772,0.475481840157244,-4.19169816805187,866,5593,-3.67146403080394,1.27667031588032,3.77157324416775,-4.20027317747458,1.80343843009183,-9.03425910399775,-0.20778303061757,43.0693785560732
"16","2007-12-24",1.46050058056595,3.32998179881656,4.03007308087595,-28.7251316468382,-6142,13421,-3.56064202184481,8.58962290784131,2.73307315739739,8.71578735252481,4.79996988615792,-38.3007520713763,2.19827824699443,-1.04834972948584
"17","2007-12-31",4.28859181098495,4.38213975541366,5.09226406788006,-28.9748655457089,-2693,13393,4.02804449959078,8.35857371209379,2.04209004411826,9.96076152692904,10.7574563676028,-44.0937396875073,-3.12968386983599,-2.63992788899827
"18","2008-01-08",10.0565499239663,13.8033170884439,10.3434099934701,-23.7939007252823,-2770,28927,-1.20681116523915,12.60730893269,7.55132860914625,6.41190924662087,23.8349388263616,-43.7424335398624,11.9600909245491,-0.572721987489544
"19","2008-01-15",6.48596275743376,5.07890312956114,6.82256992622055,3.77248785988904,-2432,9575,10.916076043052,6.98770244482034,3.81348257369254,10.7301175817812,5.27167821724053,-1.75359621715803,11.0155007205268,7.79010801498234
"20","2008-01-22",0.755072404398049,0.748705933279226,-0.29096207502306,-4.18350937273519,2915,2149,0.774539523085416,-0.0877778349545721,1.99345235310098,-7.02400063127904,-1.29209550074609,2.93244443013307,1.79061312212863,-16.7995141513947
"21","2008-01-29",-5.51937813100292,-8.7120355422817,-5.83651583621716,-7.13891583906889,2010,-16205,3.65366708978989,-5.77036875321149,-2.15120034588789,-2.13170875118198,-19.2466030642658,-8.58860887426758,-7.67119618386669,-10.0483977495564
"22","2008-02-05",4.7160253011679,2.22948174895574,4.66618868675965,17.3309207451014,-772,1734,11.1403304078774,3.98280924742203,1.18080346628968,19.7556383058931,2.65313490814556,14.847504791406,6.40833895208246,20.1401956920698
"23","2008-02-12",-9.05263474178319,-2.0025929619452,-8.76847636954228,3.67030707341751,954,-4422,-28.9616296643372,-9.5349429467074,-0.903033330014757,6.10926040416526,-0.615664717352438,11.5640247264659,-12.436048085376,-22.4340439548056
"24","2008-02-19",-0.0306760850033783,3.76511035893099,1.78850688852741,-7.00352168581997,-4887,8376,-13.4063945544286,2.34064671403278,4.14309309145882,7.2576931118558,5.58520779258931,-32.7928495329971,-5.09485437772899,32.712587218877
"25","2008-02-26",17.600942376243,16.7791512193475,16.0366530742259,-7.59447411620098,463,37031,20.6972051958552,17.2897546733983,12.5282131551073,39.6854690103469,24.2138462192383,-38.4116885450203,13.382094780623,-55.5240591645068
"26","2008-03-04",2.63143185880601,-9.8147303110423,2.28125303250089,13.9884236615254,524,-23867,38.5657394814119,1.69935898458231,-9.02804135713353,-13.0674618833831,-12.1945053385756,47.7667802283632,-4.84590440661812,16.4773086552574
"27","2008-03-11",-0.518389396636998,-5.86545870896078,-1.73881367356028,-7.04132797106443,4051,-10893,10.6880014288944,-1.46638255747273,2.03579211213736,-19.0595167276305,-14.7182587143712,9.27585528805626,-22.8358432663125,-28.9810865166303
"28","2008-03-18",-3.35642012174713,-7.18295353279874,-3.48309242761182,4.18842130830619,1008,-14426,3.63915775860342,-3.88223748961849,-3.59140625694394,48.3339980350927,-12.3783855421088,-36.114173996519,-13.6861790452523,-27.6204944614587
"29","2008-03-25",-1.57785001236448,-4.03704100536171,-1.79503371738932,-13.1888021638678,937,-5354,2.54372063571022,-1.21351144145176,-1.65905864433213,-0.933236414290306,-8.82796476437253,-30.828088987303,-4.09715160516342,-36.9599194919668
